# wavelength [m], reflectance
 4.4452116e-07, 4.5296192e-002
 4.9874979e-07, 1.1021909e-001
 5.5994797e-07, 2.3987867e-001
 6.6466898e-07, 4.1108599e-001
 7.0376843e-07, 4.7953874e-001
 7.4027389e-07, 4.7384530e-001
 7.8201795e-07, 3.9147010e-001
 8.3274448e-07, 3.0794874e-001
 8.649404e-07, 2.6794386e-001
 9.4503015e-07, 2.5157878e-001
 1.3733701e-06, 6.4951229e-001
 1.613752e-06, 7.0593065e-001
 2.2033744e-06, 5.1015931e-001
