# wavelength [m], reflectance
 4.4452116e-07, 6.7722864e-002
 4.9874979e-07, 8.6210534e-002
 5.5994797e-07, 1.5029815e-001
 6.6466898e-07, 2.4374887e-001
 7.0376843e-07, 2.8534678e-001
 7.4027389e-07, 3.0148527e-001
 7.8201795e-07, 2.6094043e-001
 8.3274448e-07, 2.0859449e-001
 8.649404e-07, 1.8288924e-001
 9.4503015e-07, 1.7040332e-001
 1.3733701e-06, 5.2268481e-001
 1.613752e-06, 5.7734287e-001
 2.2033744e-06, 2.6767847e-001
