# wavelength [m], reflectance
 4.4452116e-07, 2.4353677e-001
 4.9874979e-07, 3.5203058e-001
 5.5994797e-07, 5.2456582e-001
 6.6466898e-07, 6.6184926e-001
 7.0376843e-07, 7.1085399e-001
 7.4027389e-07, 7.0861262e-001
 7.8201795e-07, 6.6036475e-001
 8.3274448e-07, 6.0184276e-001
 8.649404e-07, 5.7186478e-001
 9.4503015e-07, 5.5902070e-001
 1.3733701e-06, 7.8717226e-001
 1.613752e-06, 8.2357913e-001
 2.2033744e-06, 6.8550986e-001
